x,y,z,yaw,velocity,change_flag
639778.4283,5194991.6308,245.0000,2.2169,16.6849,0
639777.9814,5194992.5545,245.0000,2.1525,16.5682,0
639777.5970,5194993.4934,245.0000,2.0900,16.2182,0
639777.2538,5194994.5133,245.0000,2.0249,15.9848,0
639776.9689,5194995.5425,245.0000,1.9659,15.8681,0
639776.7319,5194996.5701,245.0000,1.9134,15.6348,0
639776.5296,5194997.5971,245.0000,1.8689,15.6348,0
639776.3526,5194998.6242,245.0000,1.8313,15.6348,0
639776.1926,5194999.6525,245.0000,1.8002,15.6348,0
639776.0418,5195000.6809,245.0000,1.7755,15.6348,0
639775.8964,5195001.7143,245.0000,1.7563,15.7515,0
639775.7525,5195002.7496,245.0000,1.7416,15.8681,0
639775.6053,5195003.7933,245.0000,1.7308,15.9848,0
639775.4549,5195004.8406,245.0000,1.7229,16.1015,0
639775.3008,5195005.8929,245.0000,1.7171,16.2182,0
639775.1421,5195006.9507,245.0000,1.7127,16.3348,0
639774.9797,5195008.0161,245.0000,1.7093,16.4515,0
639774.8151,5195009.0877,245.0000,1.7065,16.5682,0
639774.6625,5195010.0763,245.0000,1.7043,16.5682,0
639774.5093,5195011.0714,245.0000,1.7021,16.6849,0
639774.3569,5195012.0697,245.0000,1.7000,16.8016,0
639774.2049,5195013.0733,245.0000,1.6977,16.9182,0
639774.0541,5195014.0834,245.0000,1.6955,16.9182,0
639773.9060,5195015.1015,245.0000,1.6932,17.1516,0
639773.7598,5195016.1244,245.0000,1.6910,17.1516,0
639773.6154,5195017.1564,245.0000,1.6887,17.2683,0
639773.4735,5195018.1912,245.0000,1.6864,17.2683,0
639773.3341,5195019.2287,245.0000,1.6840,17.2683,0
639773.1986,5195020.2595,245.0000,1.6816,17.0349,0
639773.0681,5195021.2769,245.0000,1.6790,17.0349,0
639772.9423,5195022.2906,245.0000,1.6760,16.6849,0
639772.8221,5195023.2865,245.0000,1.6729,16.4515,0
639772.6987,5195024.3572,245.0000,1.6693,16.2182,0
639772.5814,5195025.4100,245.0000,1.6657,15.9848,0
639772.4719,5195026.4473,245.0000,1.6619,15.6348,0
639772.3694,5195027.4624,245.0000,1.6582,15.4014,0
639772.2642,5195028.5387,245.0000,1.6544,14.8180,0
639772.1682,5195029.5665,245.0000,1.6506,14.3513,0
639772.0733,5195030.6274,245.0000,1.6466,13.5346,0
639771.9867,5195031.6300,245.0000,1.6436,12.8345,0
639771.9009,5195032.6444,245.0000,1.6418,12.0178,0
639771.8169,5195033.6576,245.0000,1.6400,11.2010,0
639771.7304,5195034.7105,245.0000,1.6381,10.3843,0
639771.6478,5195035.7219,245.0000,1.6364,9.3342,0
639771.5644,5195036.7625,245.0000,1.6345,8.1674,0
639771.4841,5195037.7792,245.0000,1.6326,6.8840,0
639771.4041,5195038.7924,245.0000,1.6302,4.2004,0
