x,y,z,yaw,velocity,change_flag
41.9486999999,-22.9024,245.0000,-1.5752,17.6183,0
42.0014,-23.9601000007,245.0000,-1.5651,17.5016,0
42.0639,-25.0102000004,245.0000,-1.5553,17.5016,0
42.1338,-26.051,245.0000,-1.5463,17.2683,0
42.2121,-27.0870000003,245.0000,-1.5377,17.1516,0
42.2958999999,-28.1176000005,245.0000,-1.5310,17.0349,0
42.3824999999,-29.1414000001,245.0000,-1.5255,16.9182,0
42.4685,-30.1561000003,245.0000,-1.5215,16.8016,0
42.5532,-31.1620000005,245.0000,-1.5185,16.8016,0
42.637,-32.1616000002,245.0000,-1.5163,16.5682,0
42.7259,-33.2426000005,245.0000,-1.5143,16.4515,0
42.813,-34.3176000006,245.0000,-1.5133,16.3348,0
42.8966,-35.3842000002,245.0000,-1.5139,16.2182,0
42.9761,-36.4448000006,245.0000,-1.5159,16.1015,0
43.0473999999,-37.4954000004,245.0000,-1.5191,15.8681,0
43.1089,-38.5067000007,245.0000,-1.5234,15.1681,0
43.1636,-39.5703000007,245.0000,-1.5297,14.5847,0
43.2061,-40.5882999999,245.0000,-1.5374,14.0013,0
43.2359999999,-41.6370000001,245.0000,-1.5477,13.5346,0
43.2509,-42.6624000007,245.0000,-1.5594,13.1846,0
43.25,-43.6680000005,245.0000,-1.5719,13.0679,0
43.2344,-44.6694,245.0000,-1.5861,13.0679,0
43.2023,-45.6727,245.0000,-1.6043,13.0679,0
43.1385999999,-46.7418,245.0000,-1.6320,12.9512,0
43.0331,-47.8083000006,245.0000,-1.6695,12.9512,0
42.8707,-48.8660000004,245.0000,-1.7176,12.9512,0
42.6542,-49.8499000007,245.0000,-1.7727,13.0679,0
42.3665,-50.8169,245.0000,-1.8372,13.0679,0
41.9961999999,-51.7581000002,245.0000,-1.9112,13.0679,0
41.5423,-52.6612,245.0000,-1.9927,12.9512,0
41.0033999999,-53.5119000003,245.0000,-2.0814,12.9512,0
40.3807999999,-54.3005000008,245.0000,-2.1748,12.9512,0
39.6821,-55.0188000007,245.0000,-2.2706,12.8345,0
38.8618999999,-55.6926000006,245.0000,-2.3745,12.7178,0
37.9813999999,-56.2676000008,245.0000,-2.4776,12.4845,0
37.0475999999,-56.7513000006,245.0000,-2.5765,12.4845,0
36.0817999999,-57.1410000008,245.0000,-2.6721,12.6012,0
35.0745,-57.4479,245.0000,-2.7632,12.8345,0
34.0937999999,-57.6674000006,245.0000,-2.8432,13.0679,0
33.0773,-57.8239000002,245.0000,-2.9182,13.3012,0
32.0314999999,-57.9188000001,245.0000,-2.9843,13.6513,0
30.9569,-57.9619000005,245.0000,-3.0406,13.8846,0
29.9377,-57.9673000006,245.0000,-3.0844,14.2346,0
28.8955999999,-57.9437000006,245.0000,-3.1245,14.5847,0
27.83,-57.8887,245.0000,3.1205,14.9347,0
26.8236999999,-57.8063000003,245.0000,3.0867,15.2847,0
25.8017,-57.6916000005,245.0000,3.0556,15.6348,0
24.7618,-57.5470000003,245.0000,3.0278,15.9848,0
23.7054999999,-57.3758000005,245.0000,3.0027,16.3348,0
22.6318,-57.1800000006,245.0000,2.9780,16.5682,0
21.6303999999,-56.9742000001,245.0000,2.9542,16.9182,0
20.6216,-56.7385,245.0000,2.9285,17.2683,0
19.5954999999,-56.4687000001,245.0000,2.9017,17.6183,0
18.5621999999,-56.1612,245.0000,2.8727,17.8516,0
17.6128999999,-55.8431000002,245.0000,2.8441,18.2017,0
16.6599,-55.4875000007,245.0000,2.8135,18.5517,0
15.7104,-55.0905000009,245.0000,2.7807,18.6684,0
14.7644,-54.6489000004,245.0000,2.7459,19.0184,0
13.8234999999,-54.1617000001,245.0000,2.7088,19.2518,0
12.9016,-53.6284000007,245.0000,2.6685,19.2518,0
12.0122,-53.0492000002,245.0000,2.6241,19.0184,0
11.1714999999,-52.4311000006,245.0000,2.5763,18.9017,0
10.3615999999,-51.7578000007,245.0000,2.5250,18.7851,0
9.61029999994,-51.0448000003,245.0000,2.4706,18.4350,0
8.9253,-50.3000000007,245.0000,2.4135,18.0850,0
8.24809999997,-49.4448000006,245.0000,2.3488,17.6183,0
7.65259999991,-48.5605000006,245.0000,2.2830,17.1516,0
7.13439999998,-47.6546,245.0000,2.2169,16.6849,0
6.6875,-46.7309000008,245.0000,2.1525,16.5682,0
6.3030999999,-45.7920000004,245.0000,2.0900,16.2182,0
5.9598999999,-44.7721000006,245.0000,2.0249,15.9848,0
5.67499999993,-43.7429,245.0000,1.9659,15.8681,0
5.43799999997,-42.7153000003,245.0000,1.9134,15.6348,0
5.23569999996,-41.6883000005,245.0000,1.8689,15.6348,0
5.05869999994,-40.6612,245.0000,1.8313,15.6348,0
4.8986999999,-39.6329000005,245.0000,1.8002,15.6348,0
4.74789999996,-38.6045000004,245.0000,1.7755,15.6348,0
4.60249999992,-37.5711000003,245.0000,1.7563,15.7515,0
4.4585999999,-36.5358000007,245.0000,1.7416,15.8681,0
4.31140000001,-35.4921000004,245.0000,1.7308,15.9848,0
4.16099999996,-34.4448000006,245.0000,1.7229,16.1015,0
4.00689999992,-33.3925000001,245.0000,1.7171,16.2182,0
3.84820000001,-32.3347000005,245.0000,1.7127,16.3348,0
3.68579999998,-31.2693000007,245.0000,1.7093,16.4515,0
3.52119999996,-30.1977000004,245.0000,1.7065,16.5682,0
